"job_title","company_name <- unlist(final_results[2])","state <- unlist(final_results[3])","description <- unlist(final_results[4])"
"Junior Data Scientist",NA,"New-York","Reonomy leverages big data, partnerships and machine learning to connect the fragmented, disparate world of commercial real estate. By providing unparalleled access to property intelligence, Reonomy products empower individuals, teams, and companies to unlock insights and discover new opportunities.

Headquartered in New York, Reonomy has raised $128 million from top investors, including Sapphire Ventures, Bain Capital, Softbank, Primary Ventures, Georgian Partners, Wells Fargo Strategic Capital, Citi Ventures, and Untitled Investments. Our clients represent the biggest names in CRE, including Newmark Knight Frank, CBRE, Cushman & Wakefield, and Tishman Speyer.

If you're excited by growth, innovation and the ability to shape one of the biggest markets, join us as our journey is just beginning!

ABOUT THE ROLE:



As a Junior Data Scientist at Reonomy, you'll play a vital role in creating models that will serve as critical components embedded in the pipelines that support everything we offer! Reonomy's Knowledge Graph creates an unprecedented view of Commercial Real Estate across the United States. It's supported by a best-in-class data infrastructure which intelligently links disparate datasets, as well as manages the complexities in the CRE space, in order to build a first-of-its-kind data product!



In this role, you will work as part of the cross-functional team to build and embed analytics, Machine Learning and AI to better serve our customers with the information that will change the way they do business. If you consider yourself a data analytics enthusiast with an investigative mindset then keep reading!
Responsibilities include:
Extract and combine data from multiple internal data sources, including data cleansing and noise removal
Perform high quality exploratory data analysis
Feature generation, model choice and implementation to extract insights
Collaborate with the Engineering team to design, build and improve Reonomy’s ML models
Design tracking metrics to measure performance of Machine Learning models
Write high quality code, actively participate in code reviews, and consistently help to ship software
Collaborate with product management, data science, and data operations to produce ground truth sets required to measure model performance
Present results to Data Science team and make adjustments based on the feedback
ABOUT YOU:
1-2 years of experience in a Data Science capacity
Bachelor’s or Master’s degree in a quantitative field such as Statistics, Mathematics, Engineering, or Computer Science
Demonstrated work experience with data transformation and cleaning, feature building, model implementation, and model performance evaluation
Ability to write clean, well-organized Python code that will integrate easily into the production pipelines
Advanced knowledge in SQL and strong data analysis skills; including collecting, analyzing, interpreting, and presenting data
Ability to build successful ML projects with a strong engineering focus
Preferably experience with distributed computing: Spark, Pyspark, Scala
Excellent communication skills with a knack for communicating findings to technical and non-technical audiences
A detail oriented mind with inclination for investigative data work
BENEFITS:
Competitive salary
100% coverage on medical, vision and dental health plans
Company stock options
Unlimited Vacation
401k plan and commuter benefits
Access to our Continuing Education Stipend
Perks: WFH package, FREE ClassPass membership, FREE Headspace premium membership, FREE Citi Bike membership, & team outings!
Applicants must be currently authorized to work in the United States on a full-time basis.

**We do not accept unsolicited resumes from outside recruiters/placement agencies. Reonomy will not pay fees associated with resumes presented through unsolicited means.

#LI-REMOTE
#BI-REMOTE"
"Data Scientist","Citi","New-York","We are looking to hire a Data Scientist specializing in data analysis to join the Citi Research Operations Team. The successful candidate will work with the team and perform data analysis on proprietary datasets highlighting trends and developing models to forecast behavior. The Data Scientist will be responsible for a wide range of analytical tasks including data exploration and visualization, trend forecasting on time series data, regression analysis, and machine learning tasks such as classification and clustering. The Data Scientist will be working with Senior Analysts based in different regions on requirements, building out project requirements and providing the results to the stake holders. The candidate will be part of a global team, strategically located in New York.

Responsibilities:

Understand the Citi Research business and its drivers
Engage with all stakeholders for Citi Research projects to collect feedback, build-out requirements and prioritize system enhancements
Act as a resource to Analyst teams in developing, analyzing, and visualizing new proprietary datasets
Translate business needs into specific analytical questions
Support decision making by communicating technical requirements to peers and management
Improve on existing statistical methodologies and models

Qualifications:

3-5 years of experience working in Python (R is a plus)

2+ years of experience working with SQL databases

Experience working with time series forecasting methods

Experience wrangling and cleansing large datasets

Experience with machine learning methods including regression analysis, classification, and unsupervised modeling

Ability to structure project workflow from gathering requirements to model building and data delivery

Ability to create effective and interpretable data visualizations

Self-starter and driven; able to work independently with little guidance

Effective communicator with both technical and non-technical peers and managers

Experience with NLP a plus

Education:

Bachelor’s/University degree, Master’s degree preferred


This job description provides a high-level review of the types of work performed. Other job-related duties may be assigned as required.


-

Job Family Group:

Research

-

Job Family:

Research Product

-

Time Type:

Full time

-

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
"Data Scientist","iboss","New-York","Company Overview

iboss is a cloud security company that enables the modern workforce to connect securely and directly to all applications from wherever they work. Built on a containerized cloud architecture, iboss delivers security capabilities such as SWG, malware defense, RBI, CASB and data loss prevention to all connections via the cloud, instantaneously and at scale. This eliminates the need for traditional network security appliances, such as VPNs, firewalls and web gateway proxies, which are ineffective at protecting a cloud-first and mobile world. Leveraging a purpose-built cloud architecture backed by 230+ issued and pending patents and more than 100 points of presence globally, iboss processes over 150 billion transactions daily, blocking 4 billion threats per day. More than 4,000 global enterprises trust the iboss Cloud Platform to support their modern workforces, including a large number of Fortune 50 companies. To learn more, visithttps://www.iboss.com/.

Job Description

iboss Research and Intelligence team is expanding and looking to add a data scientist to our growing team. You’ll be able to leverage large-scale rich data to meaningfully improve and refine our identification of malicious computer software and behavioral threats. If you’re ready to work with subject matter experts in the industry in a collaborative environment with unrivaled technology, apply today.

Responsibilitities:


Mine large scale and high dimensional data, identify patterns and visualize trends
Create predictive models using supervised learning techniques to detect and stop the most sophisticated threats
Innovate new semi-supervised and online learning techniques to enhance our threat detection capabilities and reduce nuisance false positives for our customers.
Work closely with domain experts to improve our raw data and to derive more value from data collected
Hone your ability to balance detail-oriented research with goal-oriented business objectives
Implement and experiment with new algorithms and methodologies to help improve our machine learning models
Automate and visualize analyses, results and processes in our machine learning pipeline

Qualifications

2-5 years of experience in data science, machine learning, or any field employing computational science or data-driven analyses
Programming experience in Python
Excellent interpersonal, technical, and communication skills
Ability to learn, evaluate, and adopt new technologies fast
Ability to lead and execute projects from start to finish
Solid foundation in computer science, software development, and machine learning

Benefits

Health, Vision, Dental, Chiropractic - open to domestic partners
401K with company match
Paid Time Off (PTO)
Company paid holidays
Optimistic, supportive, and fun work environment
Fantastic quarterly company events
Free catered lunch every Friday
Free snacks
Free on-site gym membership

The duties and responsibilities described above are essential functions of the job.

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, status as a veteran or as an individual with a disability.

This position is not eligible for sponsorship of work visas"
"Data Scientist","Noom US","New-York","At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.

We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.

What You'll Like About Us:

We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.
We are a data-driven company through and through.
We're a respectful, diverse, and dynamic environment in which Engineering is a first-class citizen, and where you'll be able to work on a variety of interesting problems that affect the lives of real people.
We offer a generous budget for personal development expenses like training courses, conferences, and books.
You'll get three weeks' paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote). We worry about results, not time spent in seats.

What We'll Like About You:

You have 4+ years of experience as a Data Scientist or Data Analyst in a similarly-sized organization, with a proven record of analysis and research that positively impacts your team.
You possess excellent communication skills and the ability to clearly communicate technical concepts to a non-technical audience
You possess excellent SQL/relational algebra skills, ideally with at least a basic knowledge of how different types of databases (e.g.: column vs row storage) work.
You have a superior knowledge of statistical analysis methods, such as input selection, logistic and standard regression, etc.
You are comfortable writing Python code, and have good working knowledge of pandas and numpy. We don't expect you to write production-quality code, but you should have some programming experience.
You are comfortable with at least ""medium data"" technologies and how to transcend the ""memory bound"" nature of most analytics tools."
"Fashion Marketing Jr. Data Scientist",NA,"New-York","Crosswalk is seeking a Jr. Data Scientist to work within the Consumer Insights team to discover information hidden in vast amounts of data, and help the team deliver actionable insights to our clients in the US and Internationally.

Jr. Data Scientist Description

The Jr. Data Scientist will help discover information hidden in vast amounts of data, and help us make smarter decisions to deliver actionable insights to our clients. The Data Scientist will build and find partnership recommendation systems, improve and extend the features used by our clients, develop personas, creative briefs and ultimately use real-world observations, data, and pop-culture referential points to provide meaningful, actionable insights from data.

Tasks

Work directly with the Manager of Data Science to provide actionable insights to clients on how to improve a number of brand strategies.
Provide reports to clients about sales trends, projections, and areas for potential development.
Help clients better understand their consumers by diving into and analyzing, data findings to find the deeper meaning.
Research industry-specific best practices and category trends as applicable against consumer data.
Evaluates and ensure the quality of creative content for clients.

Your Experience

Minimum 2 years of experience in consulting, brand strategy, business strategy, brand management/planning, or research.
Bachelors’ Degree, preferably in a related field.

Desired Characteristics

Must have the legal right to work in the United States (without a need for sponsorship)
Outstanding communication, writing, and interpersonal skills.
A passion for problem-solving and research.
Ability to thrive in team environments.
Able to think outside of the box as a critical thinker.
Ability to manage multiple tasks simultaneously.
Excellent time management skills.
Stays up to date with industry trends, specifically in fashion/retail.

This role will begin as a freelance role with a 3 month trial period. After 3 months, there will be an opportunity to go full time.

We are based in New York City and work primarily remotely. We will occasionally require days in-office. We will only consider those located in or surrounding New York City.

Check us out here https://www.crosswalknyc.com/

Job Type: Full-time

Schedule:

Monday to Friday

COVID-19 considerations:
Must be fully vaccinated.

Education:

Bachelor's (Required)

Work Location:

One location

Work Remotely:

Yes

Work Location: One location"
"Data Scientist, Marketing Analytics","Etsy","New-York","Company Description


Etsy is the global marketplace for unique and creative goods. We build, power, and evolve the tools and technologies that connect entrepreneurs with buyers around the world. Etsy, Inc.'s 'house of brands' portfolio has expanded to now include four individually distinct ecommerce brands – Etsy, fashion resale marketplace Depop, musical instrument marketplace Reverb, and Brazil-based handmade goods marketplace Elo7. As an Etsy employee, you’ll tackle unique problems alongside talented coworkers committed to Keeping Commerce Human. We're large enough that you'll focus on meaningful, complex challenges, but small enough that you can make a rewarding impact.



Job Description


The Marketing Analytics team is responsible for helping drive the success of marketing efforts at Etsy by providing meaningful insights, industry-leading measurement techniques, and access to the metrics, data, and tools needed for decision-making and optimization. We partner with our peers in marketing, analytics, research, product, engineering, and finance through all stages of development: identifying initial opportunities, refining the user experience, analyzing the impact of our efforts, and highlighting improvement areas. Ultimately, the team’s work strengthens Etsy and helps continuously improve the Etsy experience.

Learning new skills and techniques is not only a requirement but a perk of the job. We are always looking for opportunities to improve. Our mission is to demystify marketing with insights grounded in data, telling the story of how we attract and retain our users to teams, to senior management, and to the community.

This is a full-time position located (eventually) in Brooklyn, NY. Etsy offers three different work modes to meet the variety of needs and preferences of our team: Flex mode for candidates who are comfortable traveling to an office location 2+ times per week, Remote mode, and Office-based mode. Learn more about our flexible work modes and vaccination policy here.

About the Role
In this role you will:

Develop, implement, and refine core marketing measurement frameworks and models, including attribution, churn, CLV, return on investment, experiment methodology, and segmentation

Play a foundational role in deciding how we can best engage and grow Etsy users by determining and helping to execute on opportunities for growth through analysis of behavioral and transactional data

Transform raw data into meaningful and impactful analysis characterized by strong data governance, technique clarity, and clear documentation

Identify key metrics that drive the performance of marketing channels and marketing products, make these accessible to partners through dashboards and reports, and drive these metrics through statistical analyses of experiments

Continually evaluate and refine your technical toolkit, sharing what you learn with the team



Qualifications

About You
Ideally, you'll bring:

2-3 years of proven experience as a data scientist/analyst or in a quantitative role in which you extracted meaning from big data sets with little engineering support

Experience with acquisition and retention marketing operations, channel attribution, churn and lifetime value models, analytical tools and infrastructure, and finding efficient growth strategies a plus

Proficient in SQL and either R or Python. Bonus points for experience with the Hadoop ecosystem or additional scripting languages (Scala, PHP, Ruby, etc.)

Proven ability to communicate your insights verbally, visually, and in writing with teammates and business partners

Comfortable guiding others, recommending tools and standard methodologies to improve the efficiency of the teams work

Strong, independent, analytical problem solver who enjoys thinking about and solving complex and nuanced problems

Passionate about subjects such as experimental design, data visualization, and statistical analysis techniques

Experience with Looker, Tableau, or other data visualization software a plus


Additional Information

What's Next

If you're interested in joining the team at Etsy, please send a coverletter and resume telling us why you'd be right for the position. As you'vehopefully seen already, Etsy is a place that values individuality andvariety. We don't want you to be like everyone else - we want you to belike you! So write to us and tell us what you're all about.

Our Promise

At Etsy, we believe that a diverse, equitable and inclusive workplace makesus a more relevant, more competitive, and more resilient company. Weencourage people from all backgrounds, ages, abilities, and experiences toapply. Etsy is an equal opportunity employer. We do not discriminate on thebasis of race, color, ancestry, religion, national origin, sexualorientation, age, citizenship, marital or family status, disability,gender, gender identity or expression, pregnancy or caregiver status,veteran status, or any other legally protected status. We will ensure thatindividuals with disabilities are provided reasonable accommodations toparticipate in the job application and interview process, to performessential job functions, and to receive other benefits and privileges ofemployment. While Etsy supports visa sponsorship, sponsorship opportunitiesmay be limited to certain roles and skillsets.

For U.S. roles only:

Many Etsy roles are open to remote candidates, and you'll be able to identify which ones within the location header of each job description. We're open to remote hires from all U.S. states except Hawaii and Alaska. For candidates who will work remotely from Colorado, visit this link for information related to Colorado's Equal Pay for Equal Work Act."
"Part-time Data Analyst I (22.5 hours per week) - Population Health Science & Policy","Mount Sinai","New-York","Strength Through Diversity

Ground breaking science. Advancing medicine. Healing made personal.




Roles & Responsibilities:

The Data Analyst I is responsible for implementing best information technology data management practices in an effort to improve and ensure quality, streamline data cleaning efforts and deliver analyzable databases within agreed upon project timelines.




Duties and Responsibilities:

Designs and writes custom applications needed to ensure the database meets requirements for the entry, management and reporting of data.
Assists in the development of data management plans and guidelines that will deliver accurate, timelines consistent with quality data. Assures the quality control compliance process.
Identifies and implements solutions to data management issues and concerns that arise during the conduct of research studies.
Assists staff with technical issues related to electronic and remote record keeping systems; trains staff to help improve quality of data collected.
Assists medical students, interns, residents and/or program faculty with queries and generating statistical analyses.
Maintains knowledge of the current regulations and technologies related to data management.
May write and prepare manuscripts and other materials for internal and external audiences.
Performs other related duties.



Requirements:

Bachelor’s degree in computer science, statistics and/or related field, or combination of equivalent work experience and education. Master’s degree in relevant field of study preferred
2-3 years database application/management experience, preferably in a large medical center or healthcare environment



Strength Through Diversity




The Mount Sinai Health System believes that diversity is a driver for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai’s unrivaled record of achievement, education and advancement as we revolutionize medicine together.




We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.




Explore more about this opportunity and how you can help us write a new chapter in our story!




Who We Are




Over 38,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.




Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai St. Luke’s, and New York Eye and Ear Infirmary of Mount Sinai.

The Mount Sinai Health System is an equal opportunity employer. We promote recognition and respect for individual and cultural differences, and we work to make our employees feel valued and appreciated, whatever their race, gender, background, or sexual orientation.




EOE Minorities/Women/Disabled/Veterans"
"Data Scientist","Amazon.com Services LLC","New-York","Bachelor's Degree
3+ years of experience with data scripting languages (e.g SQL, Python, R etc.) or statistical/mathematical software (e.g. R, SAS, or Matlab)
2 years working as a Data Scientist
Experience in as many of the following areas: causal inferencing, multi-variate testing & design, A/B testing & design, descriptive analytics, and regression analysis.
Good understanding of supervised and unsupervised learning models.
Job summary
Amazon Advertising is one of Amazon's fastest growing and most profitable businesses. As a core product offering within our advertising portfolio, Sponsored Products (SP) helps merchants, retail vendors, and brand owners succeed via native advertising, which grows incremental sales of their products sold through Amazon. The SP team's primary goals are to help shoppers discover new products they love, be the most efficient way for advertisers to meet their business objectives, and build a sustainable business that continuously innovates on behalf of customers. Our products and solutions are strategically important to enable our Retail and Marketplace businesses to drive long-term growth. We deliver billions of ad impressions and millions of clicks and break fresh ground in product and technical innovations every day!

We are seeking an experienced Data Scientist to join the Sponsored Products Auction team. This team is responsible for building and evaluating mechanisms to rank and price billions of ad impressions per day. We're looking for a Data Scientist to define measures of auction efficiency and produce insights into the quality of inputs to our auction (supply, demand, ML model predictions). This role will also be responsible for exploratory data analysis to identify opportunities for improvement of the system and working closely with Economists, Applied Scientists and Engineers to improve our product.

As a Data Scientist on this team, you will:

Solve real-world problems by getting and analyzing large amounts of data, diving deep to identify business insights and opportunities, design simulations and experiments, developing statistical and ML models by tailoring to business needs, and collaborating with Scientists, Engineers, BIE's, and Product Managers.
Write code (Python, R, Scala, SQL, etc.) to obtain, manipulate, and analyze data
Apply statistical and machine learning knowledge to specific business problems and data.
Build decision-making models and propose solution for the business problem you define.
Retrieve, synthesize, and present critical data in a format that is immediately useful to answering specific questions or improving system performance.
Analyze historical data to identify trends and support optimal decision making.
Formalize assumptions about how our systems are expected to work, create statistical definition of the outlier, and develop methods to systematically identify outliers. Work out why such examples are outliers and define if any actions needed.
Given anecdotes about anomalies or generate automatic scripts to define anomalies, deep dive to explain why they happen, and identify fixes.
Conduct written and verbal presentations to share insights to audiences of varying levels of technical sophistication.
Why you will love this opportunity:Amazon is investing heavily in building a world-class advertising business. This team defines and delivers a collection of advertising products that drive discovery and sales. Our solutions generate billions in revenue and drive long-term growth for Amazon’s Retail and Marketplace businesses. We deliver billions of ad impressions, millions of clicks daily, and break fresh ground to create world-class products. We are a highly motivated, collaborative, and fun-loving team with an entrepreneurial spirit - with a broad mandate to experiment and innovate.

Impact and Career Growth:You will invent new experiences and influence customer-facing shopping experiences to help suppliers grow their retail business and the auction dynamics that leverage native advertising; this is your opportunity to work within the fastest-growing businesses across all of Amazon! Define a long-term science vision for our advertising business, driven from our customers' needs, translating that direction into specific plans for research and applied scientists, as well as engineering and product teams. This role combines science leadership, organizational ability, technical strength, product focus, and business understanding.

Team video https://youtu.be/zD_6Lzw8raE


Advanced degree in Computer Science, Mathematics, Statistics, Economics, or related quantitative field.
Expert level knowledge in statistics; sophisticated user of statistical tools.
Experience processing, filtering, and presenting large quantities (hundreds of millions/billions of rows) of data
Experience in data applications using large scale distributed systems (e.g. EMR, Spark, Elasticsearch, Hadoop, Pig, and Hive).
Broad knowledge of f ML methods, statistical analysis, and problem-solving skills.
Combination of deep technical skills and business savvy enough to interface with all levels and disciplines within our customer’s organization.
Demonstrable track record of dealing well with ambiguity, prioritizing needs, and delivering results in a dynamic environment.
Excellent verbal and written communication skills with the ability to advocate technical solutions for science, engineering, and business audiences.
Ability to develop experimental and analytical plans for data modeling, use effective baselines, and accurately determine cause-and-effect relations.
Experience in computational advertising is a plus.
Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us."
"Data Scientist","RELX","New-York","to be added

We are an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact accommodations@relx.com or if you are based in the US you may also contact us on 1.855.833.5120.

Please read our Candidate Privacy Policy"
"Data Scientist - Delta One Strats","Morgan Stanley","New-York","Data Scientist - Delta One Strats

Job Number:

3183586

POSTING DATE: Aug 6, 2021
PRIMARY LOCATION: Americas-United States of America-New York-New York
EDUCATION LEVEL: Bachelor's Degree
JOB: Desk Strategists
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Associate

DESCRIPTION

Morgan Stanley is a leading global financial services firm providing a wide range of investment banking, securities, investment management and wealth management services. The Firm's employees serve clients worldwide including corporations, governments and individuals from more than 747 offices in 42 countries.
As a market leader, the talent and passion of our people is critical to our success. Together, we share a common set of values rooted in integrity, excellence and strong team ethic. Morgan Stanley can provide a superior foundation for building a professional career - a place for people to learn, to achieve and grow. A philosophy that balances personal lifestyles, perspectives and needs is an important part of our culture.
The Institutional Equity Division (IED) is a global leader in the origination, distribution and trading of equity, equity-linked and equity-derivative securities. The Firm’s equity Sales & Trading operations provide liquidity, distribute content, and create product solutions to help our clients generate alpha. The Equity Financing Products department acts as a strategic partner to more than 800 top hedge fund managers: executing and clearing trades across asset classes, time zones, and currencies; providing financing and expertise to help manage risk and benefit from technology; and consults to help launch new funds and connect with them potential investors.


Team Overview:
The Delta One Strats collaborate very closely with sales, traders and other teams to drive revenue across all facets of trading. Through idea generation, creativity and sharp problem-solving/technical skills, strats play a key role in the discovery of opportunities and delivery and improvements of strategies and tools used on the desk.
In this rapidly growing area, you’ll have the opportunity to work with and learn from some of the top strats and traders in the Delta One Trading space. The team offers a nurturing environment where you will receive key mentorship that will allow you to continue to grow your skills and knowledge. As you work through challenging problems, you’ll be highly recognized and rewarded from the impact you make.


Responsibilities:
Work with various data providers (internally and externally) to acquire and analyze datasets
Develop analytics by using cutting edge technology as well as principles of data science
Serve as a data expert in explaining the make-up and use of datasets
Help with the development of trading and decision-making applications that utilize our data assets
Be actively involved in the automation and streamlining of data workflows

QUALIFICATIONS

2+ years of data related experience required
Bachelor’s degree in Statistics/Computer Science/Math/Engineering or related fields
Strong knowledge of Python, SQL, and general development principles, such as unit testing
Strong interest and demonstrated experience in data science and quantitative domains
Comfortable with Unix/Linux
Team player, good communication skills, self-starter, detail oriented
Knowledge of KDB/Q and familiarity with equity trading and finance a plus"
"Data Scientist","Marsh","New-York","Data Scientist

Location: New York, NY

What can you expect?

As a Data Scientist, you’ll be a colleague who thrives in a fast-paced, high growth culture that values strategic communication, teamwork and results. You’ll need to be self-motivated and detail oriented with a strong orientation to data analytics.

As an individual contributor in Data Science, you will work independently and with minimal supervision to implement and develop leading-edge techniques in predictive modeling, machine learning, artificial intelligence, natural language processing, etc. as applied in commercial insurance and risk management. This position consults with clients and colleagues on complex financial and statistical analyses, and develops the team's strategy to implement new, market-leading analytics-based tools.

You can look forward to:

Global exposure and experience in a top notch Total Rewards environment that works closely with each of our Operating Companies (i.e. Mercer, Guy Carpenter, Oliver Wyman) within Marsh & McLennan Companies to leverage best practices.

Opportunities for internal mobility – both lateral and vertical

Competitive pay (salary and bonus potential), full benefits package – starting day one (medical, dental, vision, STI/LTI, life insurance, generous 401k match AND contribution.

A company with a strong Brand and strong results to match.

We’ll count on you to:

Develop modeling approaches for implementing new, market-leading analytics-based tools to understand and address risk

Understand business problems to create an approach that starts with determining structured and unstructured data needs and availability, build Machine Learning models, and finalize with results that unlock insight for clients and colleagues

Demonstrate skill in advanced statistical analysis, data mining, and/or research techniques, combined with broader awareness of the business and ongoing research, while functioning in a collaborative role with the Data Science team and across the wider organization

Stay current with ongoing research in the field and bring new approaches to the team

Serve as an internal expert resource and champion for data science within Marsh and MMC

Coach team members on the delivery of analytics-based tools and analyze and presentation of findings

You’ll need to have:

Bachelor’s Degree in Math, Statistics, Data Science, Actuarial Science or related field; Master’s preferred

Expert statistical modeling knowledge, including familiarity with machine learning techniques

Knowledge of modern programming languages such as Python

We’d love to see:

Ability to face difficult and sometimes complex problems

Knowledge of modern tools such as R, VBA, SQL may be helpful but not required

Ability to influence others within and outside of the job function regarding approach and procedures

Microsoft Office skills

Superior detail orientation, excellent communication and interpersonal skills

Ability to develop strong internal/external client oriented solutions

Marsh is the world’s leading insurance broker and risk adviser. With over 35,000 colleagues operating in more than 130 countries, Marsh serves commercial and individual clients with data driven risk solutions and advisory services. Marsh is a business of Marsh & McLennan Companies (NYSE: MMC), the leading global professional services firm in the areas of risk, strategy and people. With annual revenue approaching US $17 billion and 76,000 colleagues worldwide, MMC helps clients navigate an increasingly dynamic and complex environment through four market-leading businesses: Marsh, Guy Carpenter, Mercer, and Oliver Wyman. Follow Marsh on Twitter @MarshGlobal; LinkedIn; Facebook; and YouTube, or subscribe to BRINK.

Marsh McLennan and its Affiliates are EOE Minority/Female/Disability/Vet/Sexual Orientation/Gender Identity employers."
"Data Scientist, Affordable Electrification",NA,"New-York","Who are we?

Sidewalk Labs is an urban innovation company that tackles cities' greatest challenges. We create products and solutions, invest in new companies, and help developers build more sustainable, innovative, and equitable places around the world. Our ambitious vision requires us to push ourselves beyond conventional thinking, and we work hard in pursuit of our mission. Our cross-disciplinary team consists of experts from real estate, urban planning, government, finance, technology, and engineering, among other backgrounds.

Our urban innovations include Delve (a generative design product that empowers real estate teams to design better, faster, with less risk), Mesa (an easy-install kit for commercial buildings that cuts energy costs, improves tenant comfort, and simplifies building operations), Pebble (a low-cost vehicle sensor to help manage parking and curb space), and Affordable Electrification (a new way to manage home energy use to meet a customer's monthly budget). We're also developing an offsite construction company that can deliver high-quality mass timber buildings for more sustainable living and working.

With the potential to radically improve quality of life in cities for all, our work is both exciting and complex. We are working to achieve something unprecedented — help us build it!

What is the role?

Your role is to craft the control algorithms by which energy use in every home in America will be optimized for cost, comfort and local demand management.

Your models will involve numerous variables, including a dynamically changing price of power, unique comfort preferences per user (that must be learned), and a wide breadth of equipment to control in concert - some of which may have onboard control sequences that must be considered. Further, you must avoid every device in a home or neighborhood responding equivalently to the same cues and thereby creating a new inrush or spike in demand.

Your role is to figure out the priority and sequence of operations in a home to shift and shave load in order to meet a budget.

You will report to the Senior Product Manager on the team and work closely with the engineering team.

What you have to achieve:

In your first 3 months, you will have:

Developed strong relationships within the team and learn each member's role, skill set, and unique background.
A firm understanding of the product vision and what we have learned to date.
Become familiar with the available datasets and ML algorithms developed so far.
Analyzed home energy data to identify usage patterns and develop personas.
Setup necessary data processing pipelines to develop models that predict energy usage using weather, historical consumption data.

In your first 6 months, you will have:

Collaboratively worked with the engineering team to arrive at device control strategies that optimize for multiple objectives.
Developed and be actively refining the predictive and prescriptive models in use. These include predicting energy consumption and providing device operating schedules.
Identified learnings and insights to communicate with internal and external stakeholders, and worked with the engineering team to develop reports, dashboards and visualizations.
What we expect:

Know your data science.

You have in-depth experience with statistics and machine learning.
You demonstrate excellent analytical and modeling abilities (linear models, multivariate analysis, stochastic models, sampling methods).
You have experience implementing end-to-end data processing pipelines and developing algorithms.
Bonus: You are passionate about energy, and endlessly seeking better ways to manage it in homes and buildings. You are familiar with HVAC, occupancy, temperature, lighting and plug load data and how to analyze it.

Be a technologist.

You are able to write code to work with large datasets and across all stages, including extraction, cleaning/validation, analysis and interpretation.
Experience with Python is a plus.
Be comfortable with a range of open source tools and frameworks, and make good decisions about which to use to solve a problem. You are excited to learn something new when the need arises.
Be creative: you'll come up with new ideas based on your broad understanding of technological possibilities and city domain knowledge.

Solve problems, together.

You work well in cross functional teams. You are adept at communicating your ideas, responsive to new information, and value the input and ideas of technologists and non technologists alike.
You ask hard questions and challenge assumptions to ensure that we're solving the right problems.
You are flexible to working on the team's most important problems.
You relish in the differences between people and how to develop products that work for everyone. You are passionate about making sustainability inclusive and equitable.

We are very excited to hear from you.

Sidewalk Labs is proud to be an equal opportunity employer. We actively seek applicants from underrepresented communities. Even if you are not 100% sure you are right for the role, please apply and we will be happy to consider your application. All employment is based on merit and business need, and we respond to each application we receive.

We are very excited to hear from you.

Sidewalk Labs is proud to be an equal opportunity employer. We actively seek applicants from underrepresented communities. Even if you are not 100% sure you are right for the role, please apply and we will be happy to consider your application. All employment is based on merit and business need, and we respond to each application we receive."
